Code;Libellé;Nb de pers. âgées de 65 ans ou + 2020;Taux d'emploi des femmes de 25-54 ans 2020;Taux d'emploi des hommes de 25-54 ans 2020;Part des pers., dont le diplôme le plus élevé est le bepc ou le brevet, dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+2 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+3  ou BAC+4 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2020;Part des locataires HLM dans les rés. principales 2020;Part des pers. âgées de 25 à 64 ans 2020;Part des pers. âgées de 65 ans ou + 2020;Créations d'entreprises (en nombre) 2022
01001;L'Abergement-Clémenciat;158;88.4;95.1;5.2;13.7;9.7;6.4;3.9;53.4;19.6;17
01002;L'Abergement-de-Varey;44;94.7;98.5;2.9;15.9;15.2;13.2;0;51.5;16.8;3
01004;Ambérieu-en-Bugey;2585;71.1;87.7;6.3;12.8;7.6;7;22.2;50.3;18.1;218
01005;Ambérieux-en-Dombes;288;86.4;94.2;5.5;14.1;7.9;6.6;9.2;54.9;16.2;32
01006;Ambléon;32;88.2;78.3;7.9;11.9;10.9;5.9;1.8;56.1;28.1;2
01007;Ambronay;466;84.6;91.4;4.4;14.2;8.8;7.3;9.1;52.7;16.5;19
01008;Ambutrix;105;89.8;92.4;4.2;15.7;7.5;6.8;5;57.8;13.7;9
01009;Andert-et-Condon;92;77.2;94.6;7.3;12.4;9.3;8.5;0;46.8;28.5;0
01010;Anglefort;183;80.7;88.7;5.8;9.5;5.8;3.5;8.6;52.7;16.6;16
01011;Apremont;67;86.8;89.5;3.7;14.3;11;5.9;7.1;52.7;18.1;2
01012;Aranc;85;88.7;84.4;5.3;13.4;8.5;4.1;5.4;47.2;26;2
01013;Arandas;29;92.3;86.2;6.5;8.3;5.6;1.9;3.2;52.1;20.1;0
01014;Arbent;701;73.2;86.2;5;9;6;3.3;26.5;50.9;21;47
01015;Arboys en Bugey;169;76.9;92.8;4.7;12.2;9.1;7.2;0.7;49.5;25.4;10
01016;Arbigny;98;89;91.9;6.3;12.9;7.5;2.1;1.6;48.9;21.4;5
01017;Argis;103;74.2;86;9.2;13.9;5.4;3.7;1.1;48.7;23.1;4
01019;Armix;8;100;75;4.3;4.3;0;0;0;50;30.8;0
01021;Ars-sur-Formans;243;80.9;89.3;4.9;15;10.9;7.6;5.5;52.8;16.3;15
01022;Artemare;325;84.9;88.6;5.2;10.1;7.2;4.1;12.4;46.7;26.8;19
01023;Asnières-sur-Saône;14;86.7;78.6;5.4;10.7;5.4;7.1;0;55.3;18.4;0
01024;Attignat;573;92;93.5;4.6;13.6;8.3;4.4;6.2;51.7;17.4;39
01025;Bâgé-Dommartin;666;89;93.3;4.4;14.1;7.9;5.2;3.9;52.6;16.4;40
01026;Bâgé-le-Châtel;248;83.6;92.9;4.2;9.1;6.8;4.1;9.6;48.1;25.4;9
01027;Balan;248;86.4;94.9;8.7;12.2;5.8;5.5;7.8;49.5;9.4;26
01028;Baneins;108;89.2;96.2;3.5;10.1;8.1;4.8;1.2;50.2;17.3;11
01029;Beaupont;121;65.6;78.3;6.1;7.6;4;2.1;7.3;56.7;17.7;7
01030;Beauregard;128;80.4;90.1;5.8;9.3;7.2;7.2;20.1;54;15.6;11
01031;Bellignat;615;68.3;80.1;4.6;8.9;6.8;3.5;40.1;51;16.8;39
01032;Béligneux;456;78.3;93.9;6.8;12.2;7.8;7.2;20.2;50.7;13.3;40
01033;Valserhône;2675;69.5;82.5;5.7;10.1;7;6.6;26.4;52.8;16.3;205
01034;Belley;2404;74.6;83.4;6.3;10.1;7.7;6.9;21.7;46.2;26.1;118
01035;Belleydoux;58;87.5;95.2;5;13.2;12;10.7;3.4;58.1;18.8;3
01036;Valromey-sur-Séran;363;86.6;90.9;5.4;13.7;12.2;9.9;4.1;49.1;27.2;14
01037;Bénonces;62;77.2;93.4;5.7;12.1;9.6;7.5;0;54.3;20.2;2
01038;Bény;163;91.2;95.8;3.4;15;7.9;6.3;5.9;49.6;21.5;10
01040;Béréziat;73;92.6;93.8;4;11.6;8.1;1.7;0;53.3;15.2;6
01041;Bettant;130;86.3;89.7;6.3;11.4;8.2;5.5;5.1;55.2;17.4;8
01042;Bey;48;88;94.9;3.9;12.7;9.1;7.2;8.1;54.4;16.5;3
01043;Beynost;884;87.7;92.3;5.5;14.5;11;17.1;5.4;50.7;18.3;93
01044;Billiat;100;87.6;85.1;6.9;12.3;7.4;5.3;14;51.2;15.9;3
01045;Birieux;39;89.1;92.3;2.1;13.7;13.2;9;0;54.1;13.6;7
01046;Biziat;126;92.9;93.5;4;11.6;6.5;3.5;3.3;53.7;13.9;8
01047;Blyes;117;88.9;95.9;2.9;16.2;11.8;11.8;7.9;56.3;9.2;21
01049;La Boisse;524;85.3;92.8;4.5;14.6;9.2;10.3;8.1;51.9;15.7;40
01050;Boissey;50;82.2;96.1;3.5;10.5;4.7;3.5;0;51.1;13.2;0
01051;Bolozon;28;76.5;68.7;5.2;13;3.9;0;4.4;55.1;30.3;1
01052;Bouligneux;79;91.7;93.2;6.3;16.6;8.3;9.5;0.7;49.1;23.9;4
01053;Bourg-en-Bresse;9469;67.2;73.7;6;10.2;9.8;7.5;30.5;46.3;22.7;622
01054;Bourg-Saint-Christophe;179;91.2;96;4.2;14.6;10.3;12;1.1;55.6;12.1;17
01056;Boyeux-Saint-Jérôme;76;83.8;90.3;2.4;16.2;5.1;5.5;0;50.3;21.6;2
01057;Boz;81;92.5;95.2;5.1;12.2;9.5;3.8;2.4;52.9;15.8;8
01058;Brégnier-Cordon;172;84.7;92.7;6.2;11.2;7.7;6.1;3.8;49.2;21;9
01060;Brénod;133;85.8;90.9;6.2;13.7;9.7;5.2;4.6;48.3;27.3;4
01061;Brens;231;83.8;92.1;4.8;12.4;8.8;5.6;0;52.4;20.4;13
01062;Bressolles;149;89.7;93.1;4.4;14.3;11.6;13.2;1.7;53.2;15.7;19
01063;Brion;139;87.6;88;4.9;11.6;10.2;6.4;10.3;46.4;24.8;9
01064;Briord;121;83.9;93.5;8.3;10.7;5.8;2.4;12.2;58.2;11.1;18
01065;Buellas;368;89.4;93.1;3.8;14.7;10.9;9;10.9;52.1;20.2;19
01066;La Burbanche;16;66.7;81.2;12.3;0;13.8;7.7;0;53.9;16.9;0
01067;Ceignes;24;83.3;96.7;5.1;14.9;8.3;7.8;11.2;61.4;9.3;1
01068;Cerdon;181;81;86.1;4.3;11.5;5.2;5.8;4.2;49.7;23.5;13
01069;Certines;223;91.4;95.7;3.9;13.2;7.9;6.9;14.2;56.3;14.7;16
01071;Cessy;469;84.4;89.6;4.1;10.8;13.3;19.9;14.9;58.5;9.3;61
01072;Ceyzériat;658;84.2;90.4;5.9;15.4;9.6;10.6;8.6;50.5;20.5;46
01073;Ceyzérieu;247;83;95.9;4.5;11.1;9.1;9.1;1.4;51.1;24.8;13
01074;Chalamont;494;85.1;94.4;4.6;11.8;6.8;7.2;15.6;49.1;19.2;38
01075;Chaleins;182;88.7;93.5;4.4;13.3;7.5;6.9;6.7;54.5;13;21
01076;Chaley;40;78.3;88.2;7.1;6.3;1.8;6.3;11.8;51.5;33.1;1
01077;Challes-la-Montagne;58;87.1;91.9;2.1;12.1;10;12.9;2.1;44.3;30.3;0
01078;Challex;279;83;93.5;3.4;10.4;12.3;17.4;5.9;53.5;17.5;18
01079;Champagne-en-Valromey;261;82.4;91.7;4.5;12.6;8.2;5.7;13.7;42.6;31.8;9
01080;Champdor-Corcelles;138;85.2;90.7;4.9;12.6;8.2;3.8;9.4;51.7;21.7;9
01081;Champfromier;148;79.3;86.8;5;13.8;10.2;4;23;53.3;20.4;10
01082;Chanay;78;73.8;92.6;3.8;11.1;11.1;8.2;8.2;47.5;12.2;8
01083;Chaneins;135;90.9;95.1;3.9;13.2;10.1;4.7;6.6;54.8;14;15
01084;Chanoz-Châtenay;144;87.9;93.3;3.7;14;10.4;5;0.6;51.5;15.6;22
01085;La Chapelle-du-Châtelard;65;94.2;97.7;4.5;16.7;8.9;7.5;0;53.7;16.5;1
01087;Charix;59;81.2;84.6;6.3;17.4;10;6.7;1.7;51.1;21.2;1
01088;Charnoz-sur-Ain;112;91.6;91.9;7.4;16.6;10.4;9.7;2.9;59;12.4;22
01089;Château-Gaillard;284;84.8;95.3;5.6;15.1;7.4;5.3;8.1;53.6;12.6;38
01090;Châtenay;81;83.7;93.2;4.2;12.6;8.4;7.6;3.3;47.8;22.3;11
01092;Châtillon-la-Palud;279;88.9;95.9;4.3;14.5;9.4;6.5;3.3;51.5;17.2;22
01093;Châtillon-sur-Chalaronne;1381;81;88.7;5;10;6.4;4.9;17.5;45.5;27.8;75
01094;Chavannes-sur-Reyssouze;157;86.9;92.3;8.3;10.1;6.5;3;3.4;51.3;20.6;1
01095;Nivigne et Suran;167;81.4;94.5;5.8;16;7.7;6.3;7.4;48.8;19.8;5
01096;Chaveyriat;153;84.5;95.9;4.8;14;6.7;3;2;54.1;14.8;18
01098;Chazey-Bons;229;78.5;82.6;6.1;9.7;6.8;3.6;4.9;50.8;19.5;20
01099;Chazey-sur-Ain;262;86.4;94.6;3.7;13;8.2;9.3;4.1;55.8;16.5;19
01100;Cheignieu-la-Balme;48;75;81;5.5;11.8;3.6;2.7;0;42;36.6;3
01101;Chevillard;26;94.1;100;0.8;19.2;14.2;10.8;0;61.2;17.1;1
01102;Chevroux;133;87.1;94;3.4;11.3;6.5;2.4;2.7;55;13.8;7
01103;Chevry;188;83.2;92.4;3;12.1;14.8;21.1;7.8;59.4;8.5;11
01104;Chézery-Forens;83;84.8;95.9;3.2;14.2;11.3;8.9;8.6;53.8;18.4;5
01105;Civrieux;232;89.1;95;2.9;17.6;11.3;11.7;8;55.5;12.4;32
01106;Cize;40;84.8;90.9;5.2;11.9;6.7;3;0;49.7;22.3;3
01107;Cleyzieu;30;81;97.1;0.9;11.3;17.9;7.5;0;52.1;22.2;2
01108;Coligny;373;86.4;93.7;5.2;10.1;6.6;4.2;11.6;44.8;32.1;11
01109;Collonges;213;77.7;91.1;3.9;11.2;10.2;12.1;14.7;55.6;9.5;20
01110;Colomieu;34;80.6;81.5;5.7;8.1;8.9;7.3;4.2;53.8;21.2;1
01111;Conand;28;95.5;96.4;5.1;12.2;7.1;5.1;0;49.2;21.2;0
01112;Condamine;49;85.6;99;5.7;15.7;9.7;7.9;7.8;57;10.5;2
01113;Condeissiat;134;90.1;89.9;3.7;13.2;7.4;6.1;14;53.2;16.3;12
01114;Confort;161;85.7;89.8;4.2;11.8;10.2;6.7;4.4;48;23.3;7
01115;Confrançon;174;92.5;92.5;3.7;14.5;9.6;5.1;10.5;54.3;13;16
01116;Contrevoz;124;78.9;89.9;5.3;11;6.8;3.7;0;49.7;25;4
01117;Conzieu;25;81.5;90;5.9;14.7;12.7;7.8;0;49;16.6;2
01118;Corbonod;260;78.6;74.6;2.8;9.3;5.8;4.5;3.2;53;20.3;18
01121;Corlier;16;95.8;87.5;4.5;13.6;2.3;5.7;8.3;55.2;13.8;4
01123;Cormoranche-sur-Saône;234;87.7;93.6;4.1;13.3;10.3;7;0.6;50.8;20.2;17
01124;Cormoz;144;81.7;90.3;3.9;11.4;5.2;4.5;2.8;52.6;20.5;7
01125;Corveissiat;107;79.5;92.3;4.4;12.3;7.2;4.6;3.7;54.4;17.8;10
01127;Courmangoux;128;94.4;90.8;5.3;15.1;9.4;4.7;2.2;49.4;25.3;7
01128;Courtes;63;73.2;87.5;6.7;10.7;6.7;2.2;7.5;50.5;20.9;1
01129;Crans;68;83.9;95.8;5.5;11.4;8.6;10.5;0;49.2;22.4;3
01130;Bresse Vallons;363;92.4;96;4.6;13.8;8.3;4.9;5.2;51.4;15.3;15
01133;Cressin-Rochefort;85;84.3;90.1;6.4;9.9;10.2;4.5;0;55.2;21.5;3
01134;Crottet;384;86.9;93.6;5.3;12.2;9.2;5;5.3;51.2;21.4;16
01135;Crozet;246;77.6;93.2;2.6;11.5;13.7;23.9;4.8;56.7;11.2;24
01136;Cruzilles-lès-Mépillat;147;84;93.1;4.5;15.7;7.9;3.6;7.8;52.5;15.9;9
01138;Culoz-Béon;705;71.3;88;5.8;8.2;5.4;4.6;20.4;49.7;20.6;46
01139;Curciat-Dongalon;119;81.5;90;4.5;11;5.3;1.2;3.9;47;26.8;7
01140;Curtafond;176;89.7;93.1;3.8;13.3;8.9;2.7;8.1;49.6;23.1;4
01141;Cuzieu;104;83.7;93;6.2;12.3;13.5;7.2;0;49.9;23.5;4
01142;Dagneux;718;85.2;91.8;5.7;14;9.7;9.9;11.4;50.9;15.1;70
01143;Divonne-les-Bains;1544;78.3;89.5;4.3;9.5;12.9;27.2;9.9;54.7;15.4;131
01145;Dompierre-sur-Veyle;208;82;89.9;5.3;11.2;5.6;5.5;13.3;53.4;17.5;19
01146;Dompierre-sur-Chalaronne;71;95.2;92.7;5.2;12.6;8.4;4.2;0;50.2;16.3;6
01147;Domsure;110;78.5;83.3;5.6;7.2;5.7;2.9;6;50.3;21.5;6
01148;Dortan;334;74.2;84.8;6;11.8;6;3.8;14.7;55.6;17.7;19
01149;Douvres;192;82.3;91.3;4.9;15.4;10.8;11.8;4;52.7;17.6;19
01150;Drom;28;84.8;93.5;6.2;22.4;14.9;8.1;0;58.9;13.1;2
01151;Druillat;261;88.6;94.7;4.6;13.6;5.9;6;0;49.8;22.9;10
01152;Échallon;137;88.4;94.7;3.7;18;12.1;9.3;0;55.7;18.1;17
01153;Échenevex;242;82.4;92.4;2.9;11.5;14.7;30.1;3.6;54.8;11.4;26
01155;Évosges;31;100;88;2.7;22.1;8;1.8;7;55.6;21.8;2
01156;Faramans;112;93.5;95.6;4;10.4;9.5;5.5;0;54.3;13.2;15
01157;Fareins;465;90.6;95.8;4.7;14.6;12.4;10.3;6.7;50;19.9;43
01158;Farges;124;84.2;92.7;4.1;10.3;12.6;17.1;5.1;55.5;11.8;6
01159;Feillens;691;87;92.9;5.7;12.8;5.7;5.6;7;52.3;20.5;37
01160;Ferney-Voltaire;1329;71.5;84.3;3.6;8.2;14.9;29.2;15.2;58.1;12.5;133
01162;Flaxieu;14;92.3;92.3;0;19.6;6.5;8.7;0;47.7;21.5;1
01163;Foissiat;458;87.8;92.6;3.6;11.4;7.1;3.1;6.7;49.8;22.7;19
01165;Francheleins;225;92.3;96.4;5.1;16.2;8.2;5.9;2.2;53.5;14.2;18
01166;Frans;392;90.2;93.7;4.3;15.5;10.7;9.7;9.4;55;16.2;34
01167;Garnerans;125;87.6;94.9;5.9;11.2;7.2;5.1;2.3;55.1;19;12
01169;Genouilleux;77;94.1;94.1;6.6;15.9;7.3;5.5;0;57.5;11.9;11
01170;Béard-Géovreissiat;95;85.6;93;4.3;13.1;6.3;3.5;6.4;56.1;9.1;15
01171;Géovreisset;126;78.4;90.5;5.4;13.3;5.6;4.9;7;57.9;15.2;13
01173;Gex;1340;80.8;87.7;3.5;12.5;13.3;17.5;20.4;59.7;10.2;143
01174;Giron;30;79.3;100;2.3;16;14.5;6.9;0;55.1;17;4
01175;Gorrevod;162;79.8;95.7;3.9;11.6;4.6;4.2;9.6;51.5;20.5;5
01177;Grand-Corent;51;96.6;85.2;2.2;15.1;13.7;7.2;0;45.9;27.9;0
01179;Grièges;434;88.9;93.5;5.9;12;8;4;10.2;50.8;23;23
01180;Grilly;155;84.4;90.4;3.9;9.4;18.9;32.9;0.6;53.2;18.4;9
01181;Groissiat;270;85.5;93.6;5.2;13.2;6;4.2;10.6;50.6;21.8;14
01183;Guéreins;280;88.6;94.7;4.7;12.9;10.5;7.2;0.7;50.8;18.8;20
01184;Hautecourt-Romanèche;160;91.8;91.4;6.1;12.5;9;6.3;3.8;49.6;21.2;8
01185;Plateau d'Hauteville;1408;82.9;87.1;4.5;11.1;10.4;7.9;16.3;47.1;29.2;43
01187;Haut Valromey;159;87.3;83.3;3.9;11.8;10.4;8.2;4.1;54.8;25.8;13
01188;Illiat;95;90.4;92.3;4.6;14.1;7.2;5.5;1.2;52.9;14;7
01189;Injoux-Génissiat;148;79.9;92.1;4;12.6;7.9;6.8;8.4;56.3;13.2;9
01190;Innimond;25;100;100;9.9;8.5;4.2;7;0;49.4;29.2;3
01191;Izenave;34;92.3;97.3;3.2;14.4;3.2;2.4;0;51.9;22.4;1
01192;Izernore;338;85.6;91.8;5.4;12.9;7.6;6.8;20.8;54;14.9;28
01193;Izieu;59;83.4;88;5.1;11.3;9;7.2;0;53.2;26.8;1
01194;Jassans-Riottier;1392;80.9;89.6;5.5;11.3;8.2;7.1;23.4;48.9;22;71
01195;Jasseron;437;89.3;96.2;4.4;16;12.7;8;9.5;46.7;24;18
01196;Jayat;171;84.9;91.9;4.3;13.5;7.2;5.5;9;52.1;13.8;16
01197;Journans;84;95.8;90.2;5;16.4;10.5;11.2;0;52.9;22.3;6
01198;Joyeux;33;82.8;94.7;3.6;20.7;12;8.4;3.9;55.8;12.3;4
01199;Jujurieux;412;81.4;89.4;3.9;12.8;8.8;6.2;10.7;50;19.4;26
01200;Labalme;39;85.7;95.9;6.1;13.3;7.3;4.2;4.4;53.1;18.3;3
01202;Lagnieu;1577;81.1;91.1;5.4;11.8;8.1;6.5;18.4;49.2;21.9;102
01203;Laiz;262;91.2;94.4;4.8;15.5;9;4.6;11.7;50.8;20.1;16
01204;Le Poizat-Lalleyriat;115;79.1;92.7;5;17.3;8.4;6.7;4.1;52.2;15.4;12
01206;Lantenay;53;98.2;96.6;6;12;11.1;4.9;0;53.2;19.4;2
01207;Lapeyrouse;37;90.5;98.5;6.3;14.2;8.2;9.5;0;58.3;11.9;6
01208;Lavours;41;84.2;91.7;5.5;9.1;7.3;5.5;0;46.7;30.4;0
01209;Léaz;92;77.6;86.4;4.2;12;9.5;6.9;12.5;54.8;11.6;7
01210;Lélex;46;89.8;95.9;6.1;10.4;9.8;6;4.3;58.1;19.8;6
01211;Lent;265;84.2;90.2;4.4;15.5;9.6;4;13;52.4;19;19
01212;Lescheroux;140;81.5;92.6;4;9.2;4;1.5;2.1;49.3;19.7;6
01213;Leyment;144;88.7;96.5;5;13.6;7;4.9;6.6;56.2;10.8;12
01214;Leyssard;32;94.7;90;5.5;11.7;14.8;10.2;1.3;55.9;19.9;1
01215;Surjoux-Lhopital;24;70.4;87.3;6.6;8.5;7.6;3.8;0;57;16.7;2
01216;Lhuis;296;86.7;94.1;6;10;11.2;6.2;5.1;43;33.1;5
01219;Lompnas;35;72.4;93.1;6.1;7.6;11.4;6.8;0;53.7;21.3;1
01224;Loyettes;428;82.4;92.2;5.1;12.4;5.2;5.3;7;51.8;13;68
01225;Lurcy;80;91.7;90.3;6.8;16.2;14.3;11.1;1.8;53.2;20.9;6
01227;Magnieu;127;88.6;91;5.9;12.3;8.8;7.8;0;53;19.8;6
01228;Maillat;116;84.3;94.1;3.2;12.9;7.7;6.8;4.4;53.7;17.4;10
01229;Malafretaz;242;90.7;94.4;4.4;11.9;7.3;3.6;5.7;49.6;19.8;7
01230;Mantenay-Montlin;73;94.6;90;4.8;11.8;3.7;0.9;2.1;49.4;23.7;5
01231;Manziat;424;91.8;95.2;6;13.3;6.2;3;0.7;51.2;21.8;15
01232;Marboz;559;87.7;92.1;4.3;14.1;7.6;5.2;6.2;47.3;24.6;19
01233;Marchamp;32;78.3;86.2;7.1;13.1;7.1;10.1;0;49.6;24.4;3
01234;Marignieu;37;79.3;90.3;7.9;10.8;5;7.9;0;56.2;21.9;6
01235;Marlieux;191;80;90.7;5.4;12.1;6.7;7;13.3;49;16.2;23
01236;Marsonnas;190;90.3;93.3;4.1;13.1;9.8;4.7;1;50.7;18.6;19
01237;Martignat;243;76.6;91.3;4.9;13;5.4;4.4;19.1;53;14.5;21
01238;Massieux;469;90.9;93.3;3.9;17.4;11.2;12;10.2;51.2;17.3;42
01239;Massignieu-de-Rives;148;87.1;96.3;5.5;15.8;11.3;11.8;0;50.2;23.4;8
01240;Matafelon-Granges;107;91;93.5;4.6;15.4;7.8;4.7;1.3;58;17;6
01241;Meillonnas;291;79.1;83.4;5.4;13.3;11.1;7.7;10.5;53.4;21.1;15
01242;Mérignat;19;65.4;82.1;4.2;15.6;13.5;11.5;6.6;53.3;14.1;3
01243;Messimy-sur-Saône;233;88.1;91.1;5.1;18.2;9.8;8.3;0.4;51.2;18.5;24
01244;Meximieux;1395;80.1;90.8;6.3;13.2;8.5;10.7;20.2;50.2;17.4;98
01245;Bohas-Meyriat-Rignat;178;89;91.7;4;17;10.2;8;1.3;50.9;18.7;12
01246;Mézériat;457;82.1;90.1;4.6;13.2;7.8;4.5;12;48.9;20.7;14
01247;Mijoux;45;92.5;93.7;2.6;17.2;9.3;12.3;11.4;57.9;15.1;8
01248;Mionnay;310;89;93.4;3.8;16.5;11.2;14.2;10.8;56.4;13.8;37
01249;Miribel;1676;80.9;86.2;4.8;12.6;10.9;13.7;17.1;51.9;16.4;180
01250;Misérieux;304;91;94.6;4.6;15.7;11.3;10.8;5.5;48.4;15.4;20
01252;Mogneneins;136;90.5;94.8;6;14.1;9.7;7.4;0;52.8;17;20
01254;Montagnat;405;88.1;93.2;4;18.5;11.1;10;5.3;51.8;18.9;36
01255;Montagnieu;115;84.1;91.5;6.1;13;6.3;3.9;3.7;50.2;17.7;5
01257;Montanges;57;84.8;93.3;4.8;15.9;4.8;5.6;2.6;57.6;16.1;1
01258;Montceaux;204;92.2;98.2;5.4;16.5;10.8;6.8;4.9;52.9;17.1;16
01259;Montcet;88;93.7;96.2;3.8;18.6;9.4;4.6;7.5;55.6;12.4;8
01260;Le Montellier;38;91.2;95.3;3.3;14.2;16;6.1;0;54.3;12.5;6
01261;Monthieux;102;89.8;94.9;3.2;16.3;12.5;9;6.8;55.2;14.9;8
01262;Montluel;1272;78.8;87.4;5.1;12.2;8.3;7.9;19.3;50.4;18.5;93
01263;Montmerle-sur-Saône;831;89.2;93.1;6;13.7;11.4;6.7;4.3;48.8;22.1;65
01264;Montracol;172;92;95.1;4.6;15.5;8.7;4.6;8.5;52.9;16.9;10
01265;Montréal-la-Cluse;634;67.9;86.2;5.5;9.1;5.4;4.8;32.8;51.1;18.1;47
01266;Montrevel-en-Bresse;767;84.2;88.6;5.4;8.8;5.9;3.1;16.2;44.8;29.8;33
01267;Nurieux-Volognat;212;84.9;92.5;4.4;14.6;6.9;6.2;9.7;50;21;8
01268;Murs-et-Gélignieux;62;83.4;91.3;2.8;13.2;6.1;7.7;3.8;47.3;25.5;2
01269;Nantua;689;62.9;84;7.8;10;5.1;6.4;24.8;47.9;20;46
01272;Neuville-les-Dames;342;86.9;91.2;5;11.2;5.6;5.3;8.9;49.7;23;12
01273;Neuville-sur-Ain;314;85;94;4.6;11.2;8.3;7;5.7;51;17.5;17
01274;Les Neyrolles;101;68.5;87.9;5.4;6.3;4.5;3.8;18.5;49.3;16;5
01275;Neyron;453;81.3;91;5.6;14.1;11.6;17.1;10.5;53;17.5;49
01276;Niévroz;199;81.6;93.7;4.2;14.9;9.1;6.8;0.2;55.5;12.2;23
01277;Nivollet-Montgriffon;19;76.2;100;3.2;15.1;11.8;4.3;0;56.3;16.8;1
01279;Oncieu;21;100;80;7.2;15.9;11.6;2.9;0;51.2;27.4;2
01280;Ordonnaz;33;77.3;92.3;10.4;12.3;9.4;1.9;0;48.9;24.1;3
01281;Ornex;537;76.8;86.2;4.4;10.4;13.7;26.7;15.8;55.5;11.7;60
01282;Outriaz;54;83.1;94.6;6.1;17;11.4;3.5;2.8;53.6;21;6
01283;Oyonnax;4047;62.6;78.5;6.2;7.6;4.7;4.4;39.9;49.1;18.2;298
01284;Ozan;99;85.7;92.9;5.7;8.9;7.2;1.3;5.3;55.9;14.1;7
01285;Parcieux;209;90.8;92.8;2.6;17.6;11.7;11.8;1.3;50.9;15.6;18
01286;Parves et Nattages;224;86.7;95.7;4.7;15.1;14.2;9.4;0;52.1;23.4;15
01288;Péron;280;83.3;92.6;4.2;11.4;13.4;16.4;4.7;58.4;10.1;33
01289;Péronnas;1760;81;87.8;5.4;12.3;10.2;7.6;17.3;44.5;27.2;89
01290;Pérouges;298;87;92.1;4.4;15.3;10.1;12.6;7.9;50;22.8;19
01291;Perrex;162;87.9;94.5;4.1;14.5;6;3.5;2.4;54.6;19.2;15
01293;Peyriat;23;89.3;92.9;3.6;9;11.7;9.9;0;53.5;15.9;0
01294;Peyrieu;160;87.8;95.5;6.5;13.3;9.5;7.8;5.6;52.7;17.8;13
01295;Peyzieux-sur-Saône;62;93.8;92.8;4.1;17.9;9.3;7;0.5;55;9.1;5
01296;Pirajoux;67;87.2;90.2;2.4;12;6.6;2.8;2.9;53.6;16.1;3
01297;Pizay;114;85.1;94.3;3.8;12;10.2;11.5;5.6;54.6;12.8;17
01298;Plagne;37;76.9;96.7;1.8;13.5;12.6;9;0;50;23.3;4
01299;Le Plantay;79;81;78.2;3.2;14.3;8.8;8.5;4.5;56.9;13.3;6
01301;Polliat;542;87.9;93.9;4.6;12.7;8.1;4.8;7.4;52;20.8;32
01302;Pollieu;46;87;89.3;4.3;8.7;10.1;5.1;0;53.3;27.9;0
01303;Poncin;360;73.8;92.1;5.5;11.4;5.8;6.7;12;48.2;21.3;24
01304;Pont-d'Ain;571;80;89.9;5.9;9.5;7.3;7;8.9;49.4;19.7;39
01305;Pont-de-Vaux;685;78.8;86.6;5.3;8;6.3;2.8;14.8;44.8;31.2;31
01306;Pont-de-Veyle;434;83.9;84.9;6.7;9.5;5.3;2.4;15.3;45.2;26.5;21
01307;Port;186;74.5;90.7;5.3;9.5;5.8;5.3;24.5;50.5;22.1;11
01308;Pougny;139;85.1;90.8;2.3;13.4;11.3;15.2;9.2;52.2;17.3;8
01309;Pouillat;18;93.3;84.2;1.6;10.9;4.7;7.8;0;47.7;21.6;0
01310;Prémeyzel;29;51.3;30.2;6.5;9;8;4;0;70.9;11.5;1
01311;Prémillieu;9;90.9;100;2.9;20;11.4;8.6;0;59.1;20.5;0
01313;Prévessin-Moëns;878;77;89.5;3;10.4;15.7;32;15.9;56.7;9.8;93
01314;Priay;278;84.1;89.9;4.6;13.8;6.7;5.7;4.9;54.7;16.1;12
01317;Ramasse;48;89.8;91.9;3.5;11.3;7.8;5.2;0;53;14.5;5
01318;Rancé;92;88.8;97.9;2.8;16.1;10.5;10;0;55.5;12.5;12
01319;Relevant;81;91.6;96.9;4.8;14.3;8.4;5.4;2.1;52.7;17.3;6
01320;Replonges;771;84.5;93.5;4.6;13.9;8.7;4.8;5.2;50.3;20.1;59
01321;Revonnas;155;89.9;87.4;5;16.5;12.9;11.4;5.8;51.1;17.4;9
01322;Reyrieux;960;86.8;93;4.8;13.8;10.8;12.6;7.7;49.7;19;78
01323;Reyssouze;233;79.1;92;5.9;9.8;7.3;3.4;2.8;49.8;22.9;13
01325;Rignieux-le-Franc;202;88;92.8;3.7;15;8.8;10.7;8.3;52.2;18.9;10
01328;Romans;150;80;90.2;3.2;12;6.1;4.2;8.2;48.4;24.7;5
01329;Rossillon;34;77.4;71.4;1.5;9.2;4.6;3.8;6.1;54.9;22;1
01330;Ruffieu;51;79.3;80;3.4;13.4;10.7;7.4;3.6;51.7;28.3;6
01331;Saint-Alban;30;86.8;91.9;6.1;12.2;10.8;6.8;0;56.8;15.6;3
01332;Saint-André-de-Bâgé;126;89;93.8;4.7;13.1;7.4;5.6;9.5;54.2;15.9;9
01333;Saint-André-de-Corcy;674;88.4;91.9;5.3;14.4;8.2;7.9;15.4;51.1;20;45
01334;Saint-André-d'Huiriat;73;86.2;94.2;2.7;14.1;8.8;6.5;2.2;56.2;10.7;7
01335;Saint-André-le-Bouchoux;52;93.7;92.5;3;17.6;9.5;5.3;0;50.6;12.8;4
