Code;Libellé;Nb de pers. âgées de 65 ans ou + 2020;Taux d'emploi des femmes de 25-54 ans 2020;Taux d'emploi des hommes de 25-54 ans 2020;Part des pers., dont le diplôme le plus élevé est le bepc ou le brevet, dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+2 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+3  ou BAC+4 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2020;Part des locataires HLM dans les rés. principales 2020;Part des pers. âgées de 25 à 64 ans 2020;Part des pers. âgées de 65 ans ou + 2020;Créations d'entreprises (en nombre) 2022
12129;Lestrade-et-Thouels;122;88.7;93.2;5.4;11.3;5.4;2.7;0;44.9;27.2;5
12130;Livinhac-le-Haut;387;80.5;88.1;5.4;10.5;7.8;3.3;0.8;43;34.4;17
12131;La Loubière;292;91.6;95.6;4.1;18.1;13.7;9.1;0;54;19.2;15
12133;Luc-la-Primaube;1461;88.1;93.2;6.7;15.4;9.8;5.2;4.5;50.8;24.5;75
12134;Lugan;128;90.5;93.2;7.4;10;7.6;5.3;2.8;46.2;36.4;8
12135;Lunac;177;85.7;86.1;6.9;11.6;6.9;5.2;0;40.2;40.4;4
12136;Maleville;222;81.8;93.3;4.6;11.7;6.4;2.6;2.2;51.5;23.7;11
12137;Manhac;106;89.9;96.9;4.5;18.1;9.9;5;2.8;54.1;12.6;6
12138;Marcillac-Vallon;511;86.9;88.1;5;13.2;10.6;6.8;6.9;45.2;29.6;17
12139;Marnhagues-et-Latour;56;54.1;78.9;3.3;12.5;8.3;4.2;0;44.6;40.3;1
12140;Martiel;261;91.5;90.2;8.4;12.3;7.1;5.1;1.1;50.3;26.7;16
12141;Martrin;71;70.7;74.6;2.7;13.2;9.1;6.2;0;52.6;32.2;3
12142;Mayran;97;91.8;94;3.4;18;14.5;5.7;4;52.9;15.4;6
12143;Mélagues;20;66.7;83.3;5.6;13;5.6;3.7;0;55;31.7;0
12144;Meljac;49;100;87;8;5.4;2.7;4.5;0;45.4;40;2
12145;Millau;5808;74.6;84;7;11.5;9.6;7.2;12.3;48.4;27;289
12146;Le Monastère;353;90.8;93.7;5;15.2;11.2;7.3;1.2;56.3;15.3;30
12147;Montagnol;38;65;73.9;6.5;5.6;3.7;0.9;0;49.6;27;0
